City,Total Public Transport Count
Amsterdam,326
Sydney,184
Vienna,376
Stockholm,249
Copenhagen,193
Helsinki,310
Fukuoka,175
Berlin,408
Barcelona,295
Vancouver,152
Melbourne,125
Beijing,220
Bangkok,178
Autonomous City of Buenos Aires,216
Toronto,0
Madrid,252
Special Region of Jakarta,156
Seoul,226
Frankfurt,351
Geneva,0
Tel-Aviv,166
Istanbul,239
Cairo,49
Taipei,195
Los Angeles,174
Mumbai,163
Boston,198
Dublin,224
Tokyo,307
Chicago,193
Hong Kong,183
Shanghai,254
Brussels,358
San Francisco,340
Paris,372
São Paulo,184
Zurich,300
London,233
Johannesburg,57
Milan,0
Washington,206
New York,285
Moscow,376
Mexico City,237
